identifier,tm_arrival,tm_service1,tm_service2,tm_arrival_queue1,tm_start_service1,tm_end_service1,tm_arrival_queue2,tm_start_service2,tm_end_service2
14092, 70171.505165, 2.611566, 0.418360, 70171.505165, 70172.320643, 70174.932208, 70174.932208, 70179.294937, 70179.713297
14093, 70173.409627, 1.043231, 1.122384, 70173.409627, 70174.932208, 70175.975439, 70175.975439, 70179.713297, 70180.835681
14094, 70174.084975, 2.062824, 4.970171, 70174.084975, 70175.975439, 70178.038263, 70178.038263, 70180.835681, 70186.215988
14095, 70177.393662, 0.115036, 0.997275, 70177.393662, 70178.038263, 70178.153300, 70178.153300, 70186.215988, 70188.616289
14096, 70181.118616, 0.410136, 1.669498, 70181.118616, 70181.118616, 70181.528752, 70181.528752, 70188.616289, 70190.285787
14097, 70187.171061, 1.403025, 2.230437, 70187.171061, 70187.171061, 70188.574087, 70188.574087, 70190.285787, 70192.516224
14098, 70204.693396, 0.421142, 0.203991, 70204.693396, 70204.693396, 70205.114538, 70205.114538, 70205.114538, 70205.318529
14099, 70207.547562, 0.022043, 0.295051, 70207.547562, 70207.547562, 70207.569605, 70207.569605, 70207.569605, 70207.864656
14100, 70210.152230, 0.457556, 2.920013, 70210.152230, 70210.152230, 70210.609786, 70210.609786, 70210.609786, 70214.205838
14101, 70212.461851, 0.676040, 0.812921, 70212.461851, 70212.461851, 70213.137891, 70213.137891, 70214.205838, 70215.018759
14102, 70221.231971, 2.121337, 2.163428, 70221.231971, 70221.231971, 70223.353308, 70223.353308, 70224.103906, 70226.582752
14103, 70222.081865, 0.750598, 0.120704, 70222.081865, 70223.353308, 70224.103906, 70224.103906, 70226.582752, 70226.703456
14104, 70224.188411, 0.315418, 0.610440, 70224.188411, 70224.188411, 70224.503829, 70224.503829, 70226.703456, 70227.313896
14105, 70230.642801, 1.390983, 1.243690, 70230.642801, 70230.642801, 70232.033785, 70232.033785, 70234.685746, 70235.929436
14106, 70230.721898, 1.029203, 2.122312, 70230.721898, 70232.033785, 70233.062987, 70233.062987, 70235.929436, 70240.310745
14107, 70232.429991, 1.622758, 4.023751, 70232.429991, 70233.062987, 70234.685746, 70234.685746, 70240.310745, 70245.606843
14108, 70237.558387, 2.199654, 0.217729, 70237.558387, 70237.558387, 70239.758041, 70239.758041, 70245.606843, 70245.824572
14109, 70238.587067, 0.059343, 0.535308, 70238.587067, 70239.758041, 70239.817384, 70239.817384, 70245.824572, 70246.359880
14110, 70240.389841, 0.961038, 1.030309, 70240.389841, 70240.389841, 70241.350879, 70241.350879, 70246.359880, 70248.427447
14111, 70243.717939, 0.311309, 1.965263, 70243.717939, 70243.717939, 70244.029249, 70244.029249, 70248.427447, 70250.392710
14112, 70246.459050, 0.399354, 2.514722, 70246.459050, 70246.459050, 70246.858404, 70246.858404, 70250.392710, 70252.907432
14113, 70247.019450, 0.637904, 0.010445, 70247.019450, 70247.019450, 70247.657354, 70247.657354, 70252.907432, 70252.917877
14114, 70260.941568, 0.176786, 0.107941, 70260.941568, 70260.941568, 70261.118354, 70261.118354, 70261.118354, 70261.271320
14115, 70261.168086, 0.045024, 1.251824, 70261.168086, 70261.168086, 70261.213110, 70261.213110, 70261.271320, 70262.523144
14116, 70268.094416, 0.213584, 1.823992, 70268.094416, 70268.094416, 70268.308000, 70268.308000, 70268.308000, 70270.439154
14117, 70268.464924, 0.307162, 0.032861, 70268.464924, 70268.464924, 70268.772087, 70268.772087, 70270.439154, 70270.472015
14118, 70271.613869, 1.718557, 0.627633, 70271.613869, 70271.613869, 70273.332427, 70273.332427, 70275.025021, 70275.652654
14119, 70272.578222, 0.915055, 0.409815, 70272.578222, 70273.332427, 70274.247482, 70274.247482, 70275.652654, 70276.062469
14120, 70273.338723, 0.047134, 0.462317, 70273.338723, 70274.247482, 70274.294616, 70274.294616, 70276.062469, 70276.524786
14121, 70274.011514, 0.730405, 0.011755, 70274.011514, 70274.294616, 70275.025021, 70275.025021, 70276.524786, 70276.536541
14122, 70277.026096, 0.853997, 2.235320, 70277.026096, 70277.026096, 70277.880093, 70277.880093, 70277.880093, 70280.115414
14123, 70280.649130, 0.245697, 2.614139, 70280.649130, 70280.649130, 70280.894826, 70280.894826, 70280.894826, 70283.611672
14124, 70281.364929, 0.102707, 1.745466, 70281.364929, 70281.364929, 70281.467636, 70281.467636, 70283.611672, 70285.357138
14125, 70300.776213, 1.834611, 0.298082, 70300.776213, 70300.776213, 70302.610824, 70302.610824, 70305.929472, 70306.227555
14126, 70302.266666, 3.166364, 0.538880, 70302.266666, 70302.610824, 70305.777188, 70305.777188, 70306.227555, 70312.781315
14127, 70305.336880, 0.152285, 0.895788, 70305.336880, 70305.777188, 70305.929472, 70305.929472, 70312.781315, 70313.677104
14128, 70306.555330, 5.688315, 2.295526, 70306.555330, 70306.555330, 70312.243645, 70312.243645, 70313.677104, 70315.972630
14129, 70309.960659, 0.326565, 0.860351, 70309.960659, 70312.243645, 70312.570211, 70312.570211, 70315.972630, 70316.832981
14130, 70317.013934, 0.122583, 0.619608, 70317.013934, 70317.013934, 70317.136517, 70317.136517, 70317.136517, 70317.756126
14131, 70320.695273, 0.740386, 0.378743, 70320.695273, 70320.695273, 70321.435658, 70321.435658, 70321.435658, 70321.814401
14132, 70322.377176, 0.662011, 2.524960, 70322.377176, 70322.377176, 70323.039187, 70323.039187, 70323.039187, 70326.257569
14133, 70323.804908, 0.693422, 1.777799, 70323.804908, 70323.804908, 70324.498331, 70324.498331, 70326.257569, 70328.035368
14134, 70330.918339, 0.381832, 3.554496, 70330.918339, 70330.918339, 70331.300172, 70331.300172, 70331.300172, 70338.786401
14135, 70331.547506, 0.098124, 0.880891, 70331.547506, 70331.547506, 70331.645629, 70331.645629, 70338.786401, 70339.667292
14136, 70333.857417, 1.560114, 1.682229, 70333.857417, 70333.857417, 70335.417531, 70335.417531, 70339.667292, 70341.349521
14137, 70334.678741, 0.220997, 0.513573, 70334.678741, 70335.417531, 70335.638528, 70335.638528, 70341.349521, 70341.863094
14138, 70336.170609, 0.978688, 0.379626, 70336.170609, 70336.170609, 70337.149297, 70337.149297, 70341.863094, 70342.242720
14139, 70336.999012, 1.073810, 0.476071, 70336.999012, 70337.149297, 70338.223107, 70338.223107, 70342.242720, 70342.718791
14140, 70347.890793, 0.432117, 0.114366, 70347.890793, 70347.890793, 70348.322910, 70348.322910, 70348.322910, 70348.437276
14141, 70354.472848, 0.040044, 1.803471, 70354.472848, 70354.472848, 70354.512892, 70354.512892, 70354.512892, 70356.316362
14142, 70358.588298, 0.672452, 0.827532, 70358.588298, 70358.588298, 70359.260750, 70359.260750, 70359.260750, 70360.553849
14143, 70359.859053, 0.465567, 0.147042, 70359.859053, 70359.859053, 70360.324620, 70360.324620, 70360.553849, 70360.700891
14144, 70363.428117, 0.597059, 0.260011, 70363.428117, 70363.428117, 70364.025176, 70364.025176, 70364.025176, 70364.285188
14145, 70367.106650, 1.818204, 4.326670, 70367.106650, 70367.106650, 70368.924854, 70368.924854, 70368.924854, 70376.439832
14146, 70371.569566, 2.199092, 0.751358, 70371.569566, 70371.569566, 70373.768658, 70373.768658, 70376.439832, 70377.191189
14147, 70371.879396, 0.989216, 2.958871, 70371.879396, 70373.768658, 70374.757874, 70374.757874, 70377.191189, 70380.150060
14148, 70389.920868, 0.773668, 1.017740, 70389.920868, 70389.920868, 70390.694536, 70390.694536, 70390.694536, 70391.712276
14149, 70393.052415, 0.992172, 1.231416, 70393.052415, 70393.052415, 70394.044587, 70394.044587, 70394.044587, 70395.276004
14150, 70406.106927, 1.022444, 1.110802, 70406.106927, 70406.106927, 70407.129370, 70407.129370, 70409.045129, 70410.155932
14151, 70406.156209, 1.294242, 1.656002, 70406.156209, 70407.129370, 70408.423612, 70408.423612, 70410.155932, 70411.811933
14152, 70407.578369, 0.515930, 1.369768, 70407.578369, 70408.423612, 70408.939542, 70408.939542, 70411.811933, 70413.181701
14153, 70408.127418, 0.105587, 2.088992, 70408.127418, 70408.939542, 70409.045129, 70409.045129, 70413.181701, 70415.270693
14154, 70415.467461, 0.342553, 0.516610, 70415.467461, 70415.467461, 70415.810014, 70415.810014, 70415.810014, 70416.326623
14155, 70417.396693, 1.627655, 1.013317, 70417.396693, 70417.396693, 70419.024348, 70419.024348, 70419.024348, 70420.037665
14156, 70426.575015, 0.369077, 0.255407, 70426.575015, 70426.575015, 70426.944092, 70426.944092, 70426.944092, 70427.199500
14157, 70435.505454, 3.163310, 0.091870, 70435.505454, 70435.505454, 70438.668764, 70438.668764, 70438.668764, 70438.760634
14158, 70441.015466, 0.004345, 1.117596, 70441.015466, 70441.015466, 70441.019810, 70441.019810, 70441.019810, 70442.137406
14159, 70446.495272, 0.953148, 1.337938, 70446.495272, 70446.495272, 70447.448420, 70447.448420, 70447.448420, 70448.786358
14160, 70452.517798, 1.315403, 1.989668, 70452.517798, 70452.517798, 70453.833201, 70453.833201, 70453.833201, 70455.822869
14161, 70458.118467, 2.552440, 1.491764, 70458.118467, 70458.118467, 70460.670906, 70460.670906, 70460.935253, 70462.427017
14162, 70460.564671, 0.264347, 0.622682, 70460.564671, 70460.670906, 70460.935253, 70460.935253, 70462.427017, 70463.049699
14163, 70466.306221, 1.026427, 0.775150, 70466.306221, 70466.306221, 70467.332648, 70467.332648, 70467.332648, 70468.107798
14164, 70477.691147, 0.173042, 0.889827, 70477.691147, 70477.691147, 70477.864189, 70477.864189, 70477.864189, 70478.754016
14165, 70479.712777, 2.176205, 0.542174, 70479.712777, 70479.712777, 70481.888982, 70481.888982, 70481.888982, 70482.431156
14166, 70494.204809, 1.105434, 0.956942, 70494.204809, 70494.204809, 70495.310243, 70495.310243, 70495.783521, 70496.976454
14167, 70494.273183, 0.473278, 0.833033, 70494.273183, 70495.310243, 70495.783521, 70495.783521, 70496.976454, 70499.856186
14168, 70496.420045, 0.235991, 0.789894, 70496.420045, 70496.420045, 70496.656035, 70496.656035, 70499.856186, 70500.646080
14169, 70497.128429, 1.603603, 1.422742, 70497.128429, 70497.128429, 70498.732032, 70498.732032, 70500.646080, 70502.068822
14170, 70497.805351, 0.443096, 0.118880, 70497.805351, 70498.732032, 70499.175128, 70499.175128, 70502.068822, 70502.187701
14171, 70506.253970, 1.609151, 0.307938, 70506.253970, 70506.253970, 70507.863121, 70507.863121, 70507.863121, 70508.171059
14172, 70518.781659, 0.054502, 0.589135, 70518.781659, 70518.781659, 70518.836161, 70518.836161, 70518.836161, 70519.425296
14173, 70526.301607, 1.345039, 1.652833, 70526.301607, 70526.301607, 70527.646646, 70527.646646, 70527.646646, 70529.299479
14174, 70545.080062, 4.028677, 0.209990, 70545.080062, 70545.080062, 70549.108739, 70549.108739, 70551.651905, 70551.861895
14175, 70546.298891, 0.347850, 0.940303, 70546.298891, 70549.108739, 70549.456589, 70549.456589, 70551.861895, 70552.802198
14176, 70547.057659, 1.667828, 0.266671, 70547.057659, 70549.456589, 70551.124417, 70551.124417, 70552.802198, 70553.068869
14177, 70550.734841, 0.527488, 0.524926, 70550.734841, 70551.124417, 70551.651905, 70551.651905, 70553.068869, 70553.593795
14178, 70559.566400, 1.482527, 0.275664, 70559.566400, 70559.566400, 70561.048926, 70561.048926, 70564.514936, 70564.790600
14179, 70559.769672, 3.466010, 0.714297, 70559.769672, 70561.048926, 70564.514936, 70564.514936, 70564.790600, 70565.504897
14180, 70586.861560, 0.331379, 0.334472, 70586.861560, 70586.861560, 70587.192939, 70587.192939, 70587.192939, 70587.527411
14181, 70591.471167, 0.018470, 1.179055, 70591.471167, 70591.471167, 70591.489637, 70591.489637, 70591.489637, 70592.668692
