round,Nq1,Nq2,N1,N2,W1,W2,X1,X2,T1,T2
3058, 0.000000, 0.000000, 0.003912, 0.016417, 0.000000, 0.000000, 0.243161, 1.020555, 0.243161, 1.020555
3059, 0.000000, 0.000000, 0.002326, 0.065108, 0.000000, -0.000000, 0.103271, 2.890630, 0.103271, 2.890630
3060, 0.000000, 0.000000, 0.005733, 0.012114, 0.000000, -0.000000, 0.139874, 0.295553, 0.139874, 0.295553
3061, 0.000000, 0.000000, 0.001939, 0.000709, 0.000000, 0.000000, 0.114635, 0.041920, 0.114635, 0.041920
3062, 0.000000, 0.000000, 0.305266, 0.126167, 0.000000, -0.000000, 2.658515, 1.098765, 2.658515, 1.098765
3063, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3064, 0.058576, 0.043269, 0.118091, 0.097369, 1.228939, 0.888094, 0.019701, 0.246934, 1.248640, 1.135028
3065, 0.000000, 0.000000, 0.041037, 0.078812, 0.000000, -0.000000, 0.162642, 0.312356, 0.162642, 0.312356
3066, 0.000000, 0.000000, 0.122197, 0.376275, 0.000000, 0.000000, 0.767298, 2.362699, 0.767298, 2.362699
3067, 0.000000, 0.000000, 0.032889, 0.047292, 0.000000, -0.000000, 0.661372, 0.951002, 0.661372, 0.951002
3068, 0.000000, 0.000000, 0.006884, 0.022219, 0.000000, -0.000000, 0.634165, 2.046880, 0.634165, 2.046880
3069, 0.000000, 0.000000, 0.025992, 0.145779, 0.000000, 0.000000, 0.155382, 0.871493, 0.155382, 0.871493
3070, 0.000000, 0.000000, 0.069710, 0.049178, 0.000000, 0.000000, 1.288610, 0.909077, 1.288610, 0.909077
3071, 0.000000, 0.000000, 0.000121, 0.003506, 0.000000, -0.000000, 0.009012, 0.261445, 0.009012, 0.261445
3072, 0.000000, 0.000000, 0.021581, 0.102343, 0.000000, 0.000000, 0.585475, 2.776435, 0.585475, 2.776435
3073, 0.000000, 0.000000, 0.086258, 0.017009, 0.000000, 0.000000, 1.731767, 0.341491, 1.731767, 0.341491
3074, 0.000000, 0.000000, 0.158901, 0.841099, 0.000000, 0.000000, 0.020278, 0.000000, 0.020278, 0.000000
3075, 0.000000, 0.012559, 0.008590, 0.116205, 0.000000, 0.142214, 0.307768, 3.571247, 0.307768, 3.713461
3076, 0.000000, 0.000000, 0.000614, 0.005372, 0.000000, 0.000000, 0.034107, 0.298264, 0.034107, 0.298264
3077, 0.000000, 0.000000, 0.007789, 0.020940, 0.000000, 0.000000, 0.167034, 0.449064, 0.167034, 0.449064
3078, 0.000000, 0.000000, 0.011460, 0.004805, 0.000000, -0.000000, 0.764254, 0.320455, 0.764254, 0.320455
3079, 0.000000, 0.000000, 0.059733, 0.095109, 0.000000, 0.000000, 1.009548, 1.607431, 1.009548, 1.607431
3080, 0.000000, 0.000000, 0.003069, 0.006087, 0.000000, 0.000000, 0.020280, 0.040217, 0.020280, 0.040217
3081, 0.000000, 0.000000, 0.002834, 0.013024, 0.000000, 0.000000, 0.114907, 0.527990, 0.114907, 0.527990
3082, 0.000000, 0.000000, 0.011826, 0.370137, 0.000000, -0.000000, 0.136983, 4.287193, 0.136983, 4.287193
3083, 0.000000, 0.000000, 0.011156, 0.088678, 0.000000, 0.000000, 0.254297, 2.021400, 0.254297, 2.021400
3084, 0.000000, 0.000000, 0.022088, 0.015935, 0.000000, -0.000000, 0.624849, 0.450778, 0.624849, 0.450778
3085, 0.000000, 0.000000, 0.665247, 0.330437, 0.000000, 0.000000, 3.040016, 1.510014, 3.040016, 1.510014
3086, 0.000000, 0.000000, 0.038013, 0.034696, 0.000000, -0.000000, 0.617068, 0.563225, 0.617068, 0.563225
3087, 0.000000, 0.000000, 0.256310, 0.704232, 0.000000, -0.000000, 0.487567, 1.339629, 0.487567, 1.339629
3088, 0.000000, 0.000000, 0.017237, 0.002038, 0.000000, 0.000000, 0.327304, 0.038705, 0.327304, 0.038705
3089, 0.000000, 0.000000, 0.002818, 0.002425, 0.000000, 0.000000, 0.038354, 0.032996, 0.038354, 0.032996
3090, 0.000000, 0.000000, 0.050897, 0.026298, 0.000000, -0.000000, 1.368133, 0.706908, 1.368133, 0.706908
3091, 0.000000, 0.000000, 0.002969, 0.369633, 0.000000, 0.000000, 0.009149, 1.138832, 0.009149, 1.138832
3092, 0.000000, 0.000000, 0.057913, 0.067393, 0.000000, 0.000000, 1.062407, 1.236305, 1.062407, 1.236305
3093, 0.000000, 0.000000, 0.178676, 0.096962, 0.000000, -0.000000, 1.072243, 0.581873, 1.072243, 0.581873
3094, 0.000000, 0.000000, 0.001278, 0.111819, 0.000000, -0.000000, 0.074360, 6.505809, 0.074360, 6.505809
3095, 0.000000, 0.000000, 0.009147, 0.000017, 0.000000, 0.000000, 0.510397, 0.000944, 0.510397, 0.000944
3096, 0.000000, 0.000000, 0.064222, 0.081660, 0.000000, -0.000000, 0.727637, 0.925212, 0.727637, 0.925212
3097, 0.000000, 0.000000, 0.016944, 0.019575, 0.000000, 0.000000, 0.419852, 0.485066, 0.419852, 0.485066
3098, 0.000000, 0.000000, 0.023221, 0.085877, 0.000000, -0.000000, 0.621281, 2.297616, 0.621281, 2.297616
3099, 0.000000, 0.000000, 0.143246, 0.076542, 0.000000, 0.000000, 3.112520, 1.663148, 3.112520, 1.663148
3100, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3101, 0.041496, 0.053503, 0.129670, 0.088291, 0.858494, 0.141194, 0.965706, 0.578536, 1.824200, 0.719730
3102, 0.000000, 0.000000, 0.434429, 0.199468, 0.000000, 0.000000, 5.342899, 2.453190, 5.342899, 2.453190
3103, 0.000000, 0.000000, 0.191529, 0.055908, 0.000000, -0.000000, 0.952164, 0.277938, 0.952164, 0.277938
3104, 0.000000, 0.000000, 0.011833, 0.021639, 0.000000, 0.000000, 0.124709, 0.228056, 0.124709, 0.228056
3105, 0.000000, 0.000000, 0.041073, 0.063423, 0.000000, -0.000000, 0.963419, 1.487663, 0.963419, 1.487663
3106, 0.000000, 0.000000, 0.079688, 0.038531, 0.000000, -0.000000, 1.555577, 0.752149, 1.555577, 0.752149
3107, 0.000000, 0.000000, 0.035656, 0.070678, 0.000000, 0.000000, 0.776377, 1.538932, 0.776377, 1.538932
3108, 0.000000, 0.000000, 0.027883, 0.225462, 0.000000, 0.000000, 0.417907, 3.379147, 0.417907, 3.379147
3109, 0.000000, 0.000000, 0.086037, 0.051070, 0.000000, 0.000000, 0.576182, 0.342013, 0.576182, 0.342013
3110, 0.000000, 0.000000, 0.953090, 0.046910, 0.000000, 0.000000, 2.135825, 0.000000, 2.135825, 0.000000
3111, 0.000000, 0.239675, 0.135894, 0.424762, 0.000000, 0.324444, 0.424835, 0.254179, 0.424835, 0.578623
3112, 0.000000, 0.000000, 0.011750, 0.234519, 0.000000, -0.000000, 0.182229, 3.636968, 0.182229, 3.636968
3113, 0.000000, 0.000000, 0.005124, 0.081337, 0.000000, 0.000000, 0.277166, 4.399580, 0.277166, 4.399580
3114, 0.000000, 0.000000, 0.107850, 0.021431, 0.000000, -0.000000, 1.895504, 0.376658, 1.895504, 0.376658
3115, 0.000000, 0.000000, 0.011402, 0.022547, 0.000000, -0.000000, 0.244234, 0.482959, 0.244234, 0.482959
3116, 0.000000, 0.000000, 0.026426, 0.037280, 0.000000, -0.000000, 0.827034, 1.166713, 0.827034, 1.166713
3117, 0.000000, 0.000000, 0.014487, 0.006188, 0.000000, 0.000000, 0.586774, 0.250632, 0.586774, 0.250632
3118, 0.000000, 0.000000, 0.043667, 0.013381, 0.000000, 0.000000, 0.491473, 0.150604, 0.491473, 0.150604
3119, 0.000000, 0.000000, 0.011183, 0.001589, 0.000000, 0.000000, 0.165148, 0.023459, 0.165148, 0.023459
3120, 0.000000, 0.000000, 0.035424, 0.003916, 0.000000, 0.000000, 0.577072, 0.063788, 0.577072, 0.063788
3121, 0.000000, 0.000000, 0.036775, 0.008672, 0.000000, -0.000000, 1.551256, 0.365823, 1.551256, 0.365823
3122, 0.000000, 0.000000, 0.130296, 0.096859, 0.000000, -0.000000, 0.660531, 0.491020, 0.660531, 0.491020
3123, 0.000000, 0.000000, 0.158888, 0.096464, 0.000000, 0.000000, 0.985653, 0.598412, 0.985653, 0.598412
3124, 0.000000, 0.000000, 0.104982, 0.106865, 0.000000, 0.000000, 0.910629, 0.926961, 0.910629, 0.926961
3125, 0.000000, 0.000000, 0.009158, 0.027209, 0.000000, 0.000000, 0.490671, 1.457810, 0.490671, 1.457810
3126, 0.000000, 0.000000, 0.049883, 0.092400, 0.000000, -0.000000, 0.363893, 0.674050, 0.363893, 0.674050
3127, 0.000000, 0.000000, 0.012976, 0.205464, 0.000000, -0.000000, 0.097641, 1.546033, 0.097641, 1.546033
3128, 0.000000, 0.000000, 0.026847, 0.018207, 0.000000, -0.000000, 0.363471, 0.246498, 0.363471, 0.246498
3129, 0.000000, 0.000000, 0.040448, 0.005303, 0.000000, -0.000000, 1.630897, 0.213820, 1.630897, 0.213820
3130, 0.000000, 0.000000, 0.084701, 0.406565, 0.000000, -0.000000, 0.360968, 1.732654, 0.360968, 1.732654
3131, 0.000000, 0.000000, 0.002574, 0.056064, 0.000000, 0.000000, 0.026880, 0.585592, 0.026880, 0.585592
3132, 0.000000, 0.000000, 0.034601, 0.153720, 0.000000, -0.000000, 0.614435, 2.729690, 0.614435, 2.729690
3133, 0.000000, 0.000000, 0.000533, 0.012588, 0.000000, 0.000000, 0.017405, 0.411295, 0.017405, 0.411295
3134, 0.000000, 0.000000, 0.040157, 0.050262, 0.000000, 0.000000, 0.483284, 0.604893, 0.483284, 0.604893
3135, 0.000000, 0.000000, 1.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000, 0.000000
3136, 0.220776, 0.216279, 0.493971, 0.414126, 2.613703, 1.939881, 0.620585, 0.402382, 3.234289, 2.342263
3137, 0.000000, 0.000000, 0.027211, 0.005859, 0.000000, -0.000000, 0.509560, 0.109724, 0.509560, 0.109724
3138, 0.000000, 0.000000, 0.013895, 0.104768, 0.000000, -0.000000, 0.441983, 3.332479, 0.441983, 3.332479
3139, 0.000000, 0.000000, 0.013970, 0.038786, 0.000000, -0.000000, 0.198737, 0.551777, 0.198737, 0.551777
3140, 0.000000, 0.000000, 0.036436, 0.026399, 0.000000, -0.000000, 0.377565, 0.273553, 0.377565, 0.273553
3141, 0.000000, 0.000000, 0.006510, 0.168648, 0.000000, -0.000000, 0.074141, 1.920697, 0.074141, 1.920697
3142, 0.000000, 0.000000, 0.061137, 0.081873, 0.000000, -0.000000, 0.378734, 0.507188, 0.378734, 0.507188
3143, 0.000000, 0.000000, 0.065906, 0.052096, 0.000000, 0.000000, 0.402436, 0.318111, 0.402436, 0.318111
3144, 0.000000, 0.000000, 0.154554, 0.096530, 0.000000, 0.000000, 1.577390, 0.985188, 1.577390, 0.985188
3145, 0.000000, 0.000000, 0.192134, 0.043605, 0.000000, -0.000000, 1.356363, 0.307825, 1.356363, 0.307825
3146, 0.000000, 0.000000, 0.026177, 0.054946, 0.000000, -0.000000, 0.644036, 1.351847, 0.644036, 1.351847
3147, 0.000000, 0.000000, 0.042035, 0.003018, 0.000000, 0.000000, 0.748014, 0.053710, 0.748014, 0.053710
3148, 0.000000, 0.000000, 0.093922, 0.023503, 0.000000, -0.000000, 1.174745, 0.293963, 1.174745, 0.293963
3149, 0.000000, 0.000000, 0.018474, 0.021299, 0.000000, 0.000000, 0.388359, 0.447745, 0.388359, 0.447745
3150, 0.000000, 0.000000, 0.534668, 0.465332, 0.000000, 0.000000, 1.370979, 0.000000, 1.370979, 0.000000
3151, 0.000000, 0.131773, 0.095315, 0.456514, 0.000000, 0.224744, 0.587568, 1.777117, 0.587568, 2.001861
3152, 0.000000, 0.000000, 0.031179, 0.014535, 0.000000, 0.000000, 0.977082, 0.455505, 0.977082, 0.455505
3153, 0.000000, 0.000000, 0.001589, 0.001589, 0.000000, 0.000000, 0.103947, 0.103934, 0.103947, 0.103934
3154, 0.000000, 0.000000, 0.014714, 0.019167, 0.000000, 0.000000, 0.396709, 0.516742, 0.396709, 0.516742
3155, 0.000000, 0.000000, 0.787131, 0.212869, 0.000000, 0.000000, 0.270315, 0.000000, 0.270315, 0.000000
3156, 0.000000, 0.018731, 0.014580, 0.025962, 0.000000, 0.256379, 0.900581, 0.190222, 0.900581, 0.446601
3157, 0.000000, 0.000000, 0.287446, 0.031376, 0.000000, 0.000000, 0.453987, 0.049554, 0.453987, 0.049554
3158, 0.000000, 0.000000, 0.111157, 0.028287, 0.000000, -0.000000, 3.581491, 0.911408, 3.581491, 0.911408
3159, 0.000000, 0.000000, 0.063100, 0.080456, 0.000000, -0.000000, 0.605643, 0.772233, 0.605643, 0.772233
3160, 0.000000, 0.000000, 0.140461, 0.859539, 0.000000, 0.000000, 0.343690, 0.000000, 0.343690, 0.000000
