round,Nq1,Nq2,N1,N2,W1,W2,X1,X2,T1,T2,VarW1,VarW2
17507, 0.000, 0.000, 0.228, 0.115, 0.000, 0.000, 1.608, 0.808, 1.608, 0.808, -nan, -nan
17508, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17509, 0.057, 0.943, 0.523, 1.477, 0.115, 0.000, 0.833, 0.000, 0.948, 0.000, -nan, 0.000
17510, 0.000, 0.461, 0.077, 0.788, 0.000, 3.165, 1.596, 3.595, 1.596, 6.761, -nan, inf
17511, 0.000, 0.000, 0.759, 0.241, 0.000, 0.000, 0.749, 0.000, 0.749, 0.000, -nan, 0.000
17512, 0.000, 0.190, 0.145, 0.324, 0.000, 0.401, 1.281, 0.783, 1.281, 1.185, -nan, inf
17513, 0.000, 0.000, 0.247, 0.067, 0.000, -0.000, 1.212, 0.327, 1.212, 0.327, -nan, -nan
17514, 0.000, 0.000, 0.701, 0.299, 0.000, 0.000, 1.456, 0.000, 1.456, 0.000, -nan, 0.000
17515, 0.000, 0.350, 0.321, 0.528, 0.000, 0.178, 2.016, 0.943, 2.016, 1.121, -nan, inf
17516, 0.000, 0.000, 0.334, 0.666, 0.000, 0.000, 0.201, 0.000, 0.201, 0.000, -nan, 0.000
17517, 0.000, 0.228, 0.217, 0.273, 0.000, 0.076, 1.483, 0.233, 1.483, 0.308, -nan, inf
17518, 0.000, 0.000, 0.046, 0.376, 0.000, -0.000, 0.207, 1.685, 0.207, 1.685, -nan, -nan
17519, 0.000, 0.000, 0.094, 0.054, 0.000, 0.000, 0.438, 0.253, 0.438, 0.253, -nan, -nan
17520, 0.000, 0.000, 0.689, 0.311, 0.000, 0.000, 2.348, 0.000, 2.348, 0.000, -nan, 0.000
17521, 0.000, 0.330, 0.126, 1.198, 0.000, 0.103, 0.063, 0.334, 0.063, 0.437, -nan, inf
17522, 0.000, 0.000, 0.161, 0.123, 0.000, -0.000, 0.716, 0.549, 0.716, 0.549, -nan, -nan
17523, 0.000, 0.000, 0.283, 0.061, 0.000, 0.000, 2.230, 0.478, 2.230, 0.478, -nan, -nan
17524, 0.000, 0.000, 0.198, 0.023, 0.000, 0.000, 1.483, 0.171, 1.483, 0.171, -nan, -nan
17525, 0.000, 0.000, 0.025, 0.194, 0.000, 0.000, 0.412, 3.165, 0.412, 3.165, -nan, -nan
17526, 0.000, 0.000, 0.076, 0.037, 0.000, -0.000, 0.717, 0.351, 0.717, 0.351, -nan, -nan
17527, 0.000, 0.000, 0.026, 0.023, 0.000, 0.000, 0.543, 0.491, 0.543, 0.491, -nan, -nan
17528, 0.000, 0.000, 0.038, 0.464, 0.000, 0.000, 0.093, 1.122, 0.093, 1.122, -nan, -nan
17529, 0.000, 0.000, 0.672, 0.328, 0.000, 0.000, 1.595, 0.000, 1.595, 0.000, -nan, 0.000
17530, 0.000, 0.145, 0.060, 0.535, 0.000, 0.177, 0.126, 0.642, 0.126, 0.820, -nan, inf
17531, 0.000, 0.000, 0.106, 0.894, 0.000, 0.000, 0.300, 0.000, 0.300, 0.000, -nan, 0.000
17532, 0.000, 0.019, 0.009, 0.028, 0.000, 0.166, 0.161, 0.000, 0.161, 0.166, -nan, inf
17533, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17534, 0.377, 0.535, 0.931, 0.981, 1.532, 0.000, 0.722, 0.000, 2.254, 0.000, -nan, 0.000
17535, 0.000, 0.563, 0.237, 0.894, 0.000, 0.656, 0.477, 0.012, 0.477, 0.668, -nan, inf
17536, 0.000, 0.000, 0.091, 0.710, 0.000, -0.000, 0.046, 0.355, 0.046, 0.355, -nan, -nan
17537, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17538, 1.000, 0.000, 2.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000
17539, 0.369, 1.390, 0.847, 1.897, 1.914, 3.492, 1.781, 0.427, 3.694, 3.919, -nan, inf
17540, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17541, 0.028, 0.632, 0.221, 1.393, 0.146, 2.423, 0.853, 1.517, 0.999, 3.940, -nan, inf
17542, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17543, 0.050, 0.358, 0.121, 0.760, 0.286, 1.920, 0.117, 0.362, 0.403, 2.282, -nan, inf
17544, 0.000, 0.000, 0.466, 0.023, 0.000, -0.000, 0.785, 0.039, 0.785, 0.039, -nan, -nan
17545, 0.000, 0.000, 0.071, 0.233, 0.000, -0.000, 0.342, 1.127, 0.342, 1.127, -nan, -nan
17546, 0.000, 0.000, 0.052, 0.032, 0.000, 0.000, 0.250, 0.153, 0.250, 0.153, -nan, -nan
17547, 0.000, 0.000, 0.272, 0.728, 0.000, 0.000, 0.446, 0.000, 0.446, 0.000, -nan, 0.000
17548, 0.000, 0.709, 0.066, 1.548, 0.000, 2.177, 0.222, 0.661, 0.222, 2.839, -nan, inf
17549, 0.000, 0.000, 0.026, 0.333, 0.000, -0.000, 0.037, 0.475, 0.037, 0.475, -nan, -nan
17550, 0.000, 0.000, 1.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, -nan, 0.000
17551, 0.019, 0.981, 0.258, 1.742, 0.039, 0.000, 0.453, 0.000, 0.491, 0.000, -nan, 0.000
17552, 0.000, 0.250, 0.081, 0.333, 0.000, 0.971, 1.029, 0.083, 1.029, 1.055, -nan, inf
17553, 0.000, 0.000, 0.339, 0.444, 0.000, 0.000, 1.739, 2.280, 1.739, 2.280, -nan, -nan
17554, 0.000, 0.000, 0.016, 0.043, 0.000, -0.000, 0.080, 0.216, 0.080, 0.216, -nan, -nan
17555, 0.000, 0.000, 0.662, 0.045, 0.000, -0.000, 2.396, 0.162, 2.396, 0.162, -nan, -nan
17556, 0.000, 0.000, 0.457, 0.543, 0.000, 0.000, 0.369, 0.000, 0.369, 0.000, -nan, 0.000
17557, 0.000, 0.410, 0.063, 1.088, 0.000, 1.622, 0.297, 1.553, 0.297, 3.176, -nan, inf
17558, 0.000, 0.000, 0.015, 0.094, 0.000, -0.000, 0.103, 0.637, 0.103, 0.637, -nan, -nan
17559, 0.000, 0.000, 0.031, 0.326, 0.000, 0.000, 0.109, 1.143, 0.109, 1.143, -nan, -nan
